SDL version, SDL name, Category (SDL file), Module, OCaml name, raw signature, API sig
3.2.0, SDL_AcquireCameraFrame, Camera, Camera, acquire_frame, camera @-> ptr uint64 @-> returning (some_to_ok surface_opt), camera -> int64
3.2.0, SDL_AcquireGPUCommandBuffer, Gpu, GPUCommandBuffer, acquire, gpu_device @-> returning (some_to_ok gpu_command_buffer_opt), gpu_device -> (gpu_command_buffer option) result
3.2.0, SDL_AcquireGPUSwapchainTexture, Gpu, GPU, acquire_swapchain_texture, gpu_command_buffer @-> window @-> ptr gpu_texture @-> ptr uint32 @-> ptr uint32 @-> returning bool, gpu_command_buffer -> window -> ptr gpu_texture -> (int * int) result
3.2.0, SDL_AddAtomicInt, Atomic, AtomicInt, add, atomic_int @-> int @-> returning int, atomic_int -> int -> int
3.2.0, SDL_AddEventWatch, Events, Event, add_watch, event_filter @-> ptr void @-> returning true_to_ok, event_filter -> ptr void -> unit result
3.2.0, SDL_AddGamepadMapping, Gamepad, Gamepad, add_mapping, string @-> returning int, string -> int
3.2.0, SDL_AddGamepadMappingsFromFile, Gamepad, Gamepad, add_mappings_from_file, string @-> returning int, string -> int
3.2.0, SDL_AddGamepadMappingsFromIO, Gamepad, Gamepad, add_mappings_from_io, io_stream @-> bool @-> returning int, io_stream -> bool -> int
3.2.0, SDL_AddHintCallback, Hints, Hint, add_callback, string @-> hint_callback @-> ptr void @-> returning true_to_ok, string -> hint_callback -> ptr void -> unit result
3.2.0, SDL_AddSurfaceAlternateImage, Surface, Surface, add_alternate_image, surface @-> surface @-> returning true_to_ok, surface -> surface -> unit result
3.2.0, SDL_AddTimer, Timer, Timer, add, uint32 @-> timer_callback @-> ptr void @-> returning int_as_uint, int -> timer_callback -> ptr void -> int
3.2.0, SDL_AddTimerNS, Timer, Timer, add_ns, uint64 @-> ns_timer_callback @-> ptr void @-> returning int_as_uint, int64 -> ns_timer_callback -> ptr void -> int
3.2.0, SDL_AddVulkanRenderSemaphores, Render, Renderer, add_vulkan_semaphores, renderer @-> uint32 @-> sint64 @-> sint64 @-> returning true_to_ok, renderer -> int -> int -> int -> unit result
3.2.0, SDL_AsyncIOFromFile, Asyncio, AsyncIO, from_file, string @-> string @-> returning (some_to_ok async_io_opt), string -> string -> (async_io option) result
3.2.0, SDL_AttachVirtualJoystick, Joystick, Joystick, attach_virtual, ptr virtual_joystick_desc @-> returning int_as_uint, ptr virtual_joystick_desc -> int
3.2.0, SDL_AudioDevicePaused, Audio, AudioDevice, paused, audio_device_id @-> returning true_to_ok, int -> unit result
3.2.0, SDL_AudioStreamDevicePaused, Audio, AudioStream, device_paused, audio_stream @-> returning true_to_ok, audio_stream -> unit result
3.2.0, SDL_BeginGPUComputePass, Gpu, GPUComputePass, begin_, gpu_command_buffer @-> ptr gpu_storage_texture_read_write_binding @-> uint32 @-> ptr gpu_storage_buffer_read_write_binding @-> uint32 @-> returning (some_to_ok gpu_compute_pass_opt), gpu_command_buffer -> gpu_storage_texture_read_write_binding array -> gpu_storage_buffer_read_write_binding array -> (gpu_compute_pass option) result
3.2.0, SDL_BeginGPUCopyPass, Gpu, GPUCopyPass, begin_, gpu_command_buffer @-> returning (some_to_ok gpu_copy_pass_opt), gpu_command_buffer -> (gpu_copy_pass option) result
3.2.0, SDL_BeginGPURenderPass, Gpu, GPURenderPass, begin_, gpu_command_buffer @-> ptr gpu_color_target_info @-> uint32 @-> gpu_depth_stencil_target_info_opt @-> returning (some_to_ok gpu_render_pass_opt), gpu_command_buffer -> ptr gpu_color_target_info -> int -> gpu_depth_stencil_target_info option -> (gpu_render_pass option) result
3.2.0, SDL_BindAudioStream, Audio, Audio, bind_stream, audio_device_id @-> audio_stream @-> returning true_to_ok, int -> audio_stream -> unit result
3.2.0, SDL_BindAudioStreams, Audio, Audio, bind_streams, audio_device_id @-> ptr audio_stream @-> int @-> returning true_to_ok, int -> audio_stream array -> unit result
3.2.0, SDL_BindGPUComputePipeline, Gpu, GPU, bind_compute_pipeline, gpu_compute_pass @-> gpu_compute_pipeline @-> returning void, gpu_compute_pass -> gpu_compute_pipeline -> unit
3.2.0, SDL_BindGPUComputeSamplers, Gpu, GPU, bind_compute_samplers, gpu_compute_pass @-> uint32 @-> ptr gpu_texture_sampler_binding @-> uint32 @-> returning void, gpu_compute_pass -> int -> ptr gpu_texture_sampler_binding -> int -> unit
3.2.0, SDL_BindGPUComputeStorageBuffers, Gpu, GPU, bind_compute_storage_buffers, gpu_compute_pass @-> uint32 @-> ptr gpu_buffer @-> uint32 @-> returning void, gpu_compute_pass -> int -> ptr gpu_buffer -> int -> unit
3.2.0, SDL_BindGPUComputeStorageTextures, Gpu, GPU, bind_compute_storage_textures, gpu_compute_pass @-> uint32 @-> ptr gpu_texture @-> uint32 @-> returning void, gpu_compute_pass -> int -> ptr gpu_texture -> int -> unit
3.2.0, SDL_BindGPUFragmentSamplers, Gpu, GPU, bind_fragment_samplers, gpu_render_pass @-> uint32 @-> ptr gpu_texture_sampler_binding @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_texture_sampler_binding -> int -> unit
3.2.0, SDL_BindGPUFragmentStorageBuffers, Gpu, GPU, bind_fragment_storage_buffers, gpu_render_pass @-> uint32 @-> ptr gpu_buffer @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_buffer -> int -> unit
3.2.0, SDL_BindGPUFragmentStorageTextures, Gpu, GPU, bind_fragment_storage_textures, gpu_render_pass @-> uint32 @-> ptr gpu_texture @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_texture -> int -> unit
3.2.0, SDL_BindGPUGraphicsPipeline, Gpu, GPU, bind_graphics_pipeline, gpu_render_pass @-> gpu_graphics_pipeline @-> returning void, gpu_render_pass -> gpu_graphics_pipeline -> unit
3.2.0, SDL_BindGPUIndexBuffer, Gpu, GPU, bind_index_buffer, gpu_render_pass @-> ptr gpu_buffer_binding @-> gpu_index_element_size @-> returning void, gpu_render_pass -> ptr gpu_buffer_binding -> gpu_index_element_size -> unit
3.2.0, SDL_BindGPUVertexBuffers, Gpu, GPU, bind_vertex_buffers, gpu_render_pass @-> uint32 @-> ptr gpu_buffer_binding @-> uint32 @-> returning void, gpu_render_pass -> int -> gpu_buffer_binding array -> unit
3.2.0, SDL_BindGPUVertexSamplers, Gpu, GPU, bind_vertex_samplers, gpu_render_pass @-> uint32 @-> ptr gpu_texture_sampler_binding @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_texture_sampler_binding -> int -> unit
3.2.0, SDL_BindGPUVertexStorageBuffers, Gpu, GPU, bind_vertex_storage_buffers, gpu_render_pass @-> uint32 @-> ptr gpu_buffer @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_buffer -> int -> unit
3.2.0, SDL_BindGPUVertexStorageTextures, Gpu, GPU, bind_vertex_storage_textures, gpu_render_pass @-> uint32 @-> ptr gpu_texture @-> uint32 @-> returning void, gpu_render_pass -> int -> ptr gpu_texture -> int -> unit
3.2.0, SDL_BlitGPUTexture, Gpu, GPU, blit_texture, gpu_command_buffer @-> ptr gpu_blit_info @-> returning void, gpu_command_buffer -> ptr gpu_blit_info -> unit
3.2.0, SDL_BlitSurface, Surface, Surface, blit, surface @-> rect_opt @-> surface @-> rect_opt @-> returning true_to_ok, surface -> rect option -> surface -> rect option -> unit result
3.2.0, SDL_BlitSurface9Grid, Surface, Surface, blit9_grid, surface @-> rect_opt @-> int @-> int @-> int @-> int @-> float @-> scale_mode @-> surface @-> rect_opt @-> returning true_to_ok, surface -> rect option -> int -> int -> int -> int -> float -> scale_mode -> surface -> rect option -> unit result
3.2.0, SDL_BlitSurfaceScaled, Surface, Surface, blit_scaled, surface @-> rect_opt @-> surface @-> rect_opt @-> scale_mode @-> returning true_to_ok, surface -> rect option -> surface -> rect option -> scale_mode -> unit result
3.2.0, SDL_BlitSurfaceTiled, Surface, Surface, blit_tiled, surface @-> rect_opt @-> surface @-> rect_opt @-> returning true_to_ok, surface -> rect option -> surface -> rect option -> unit result
3.2.0, SDL_BlitSurfaceTiledWithScale, Surface, Surface, blit_tiled_with_scale, surface @-> rect_opt @-> float @-> scale_mode @-> surface @-> rect_opt @-> returning true_to_ok, surface -> rect option -> float -> scale_mode -> surface -> rect option -> unit result
3.2.0, SDL_BlitSurfaceUnchecked, Surface, Surface, blit_unchecked, surface @-> rect_opt @-> surface @-> rect_opt @-> returning true_to_ok, surface -> rect option -> surface -> rect option -> unit result
3.2.0, SDL_BlitSurfaceUncheckedScaled, Surface, Surface, blit_unchecked_scaled, surface @-> rect_opt @-> surface @-> rect_opt @-> scale_mode @-> returning true_to_ok, surface -> rect option -> surface -> rect option -> scale_mode -> unit result
3.2.0, SDL_BroadcastCondition, Mutex, Condition, broadcast, condition @-> returning void, condition -> unit
3.2.0, SDL_CalculateGPUTextureFormatSize, Gpu, GPUTextureFormat, calculate_size, gpu_texture_format @-> uint32 @-> uint32 @-> uint32 @-> returning int_as_uint, gpu_texture_format -> int -> int -> int -> int
3.2.0, SDL_CancelGPUCommandBuffer, Gpu, GPUCommandBuffer, cancel, gpu_command_buffer @-> returning true_to_ok, gpu_command_buffer -> unit result
3.2.0, SDL_CaptureMouse, Mouse, Mouse, capture, bool @-> returning true_to_ok, bool -> unit result
3.2.0, SDL_ClaimWindowForGPUDevice, Gpu, GPUDevice, claim_window_for, gpu_device @-> window @-> returning true_to_ok, gpu_device -> window -> unit result
3.2.0, SDL_CleanupTLS, Thread, , cleanup_tls, void @-> returning void, unit -> unit
3.2.0, SDL_ClearAudioStream, Audio, AudioStream, clear, audio_stream @-> returning true_to_ok, audio_stream -> unit result
3.2.0, SDL_ClearClipboardData, Clipboard, Clipboard, clear_data, void @-> returning true_to_ok, unit -> unit result
3.2.0, SDL_ClearComposition, Keyboard, , clear_composition, window @-> returning true_to_ok, window -> unit result
3.2.0, SDL_ClearError, Error, Error, clear, void @-> returning bool, unit -> bool
3.2.0, SDL_ClearProperty, Properties, , clear_property, properties_id @-> string @-> returning true_to_ok, int -> string -> unit result
3.2.0, SDL_ClearSurface, Surface, Surface, clear, surface @-> float @-> float @-> float @-> float @-> returning true_to_ok, surface -> float -> float -> float -> float -> unit result
3.2.0, SDL_ClickTrayEntry, Tray, Tray, click_entry, tray_entry @-> returning void, tray_entry -> unit
3.2.0, SDL_CloseAsyncIO, Asyncio, AsyncIO, close, async_io @-> bool @-> async_io_queue @-> ptr void @-> returning true_to_ok, async_io -> bool -> async_io_queue -> ptr void -> unit result
3.2.0, SDL_CloseAudioDevice, Audio, AudioDevice, close, audio_device_id @-> returning void, int -> unit
3.2.0, SDL_CloseCamera, Camera, Camera, close, camera @-> returning void, camera -> unit
3.2.0, SDL_CloseGamepad, Gamepad, Gamepad, close, gamepad @-> returning void, gamepad -> unit
3.2.0, SDL_CloseHaptic, Haptic, Haptic, close, haptic @-> returning void, haptic -> unit
3.2.0, SDL_CloseIO, Iostream, , close_io, io_stream @-> returning true_to_ok, io_stream -> unit result
3.2.0, SDL_CloseJoystick, Joystick, Joystick, close, joystick @-> returning void, joystick -> unit
3.2.0, SDL_CloseSensor, Sensor, Sensor, close, sensor @-> returning void, sensor -> unit
3.2.0, SDL_CloseStorage, Storage, Storage, close, storage @-> returning true_to_ok, storage -> unit result
3.2.0, SDL_CompareAndSwapAtomicInt, Atomic, AtomicInt, compare_and_swap, atomic_int @-> int @-> int @-> returning true_to_ok, atomic_int -> int -> int -> unit result
3.2.0, SDL_CompareAndSwapAtomicPointer, Atomic, Atomic, compare_and_swap_pointer, ptr (ptr void) @-> ptr void @-> ptr void @-> returning true_to_ok, ptr (ptr void) -> ptr void -> ptr void -> unit result
3.2.0, SDL_CompareAndSwapAtomicU32, Atomic, AtomicU32, compare_and_swap, atomic_u32 @-> uint32 @-> uint32 @-> returning true_to_ok, atomic_u32 -> int -> int -> unit result
3.2.0, SDL_ComposeCustomBlendMode, Blendmode, , compose_custom_blend_mode, blend_factor @-> blend_factor @-> blend_operation @-> blend_factor @-> blend_factor @-> blend_operation @-> returning int_as_uint, blend_factor -> blend_factor -> blend_operation -> blend_factor -> blend_factor -> blend_operation -> int
3.2.0, SDL_ConvertAudioSamples, Audio, Audio, convert_samples, audio_spec @-> ptr uint8 @-> int @-> audio_spec @-> ptr_opt (ptr uint8) @-> ptr int @-> returning bool, audio_spec -> ptr uint8 -> int -> audio_spec -> ptr_opt (ptr uint8) -> int
3.2.0, SDL_ConvertEventToRenderCoordinates, Render, Renderer, convert_event_to_coordinates, renderer @-> event @-> returning true_to_ok, renderer -> event -> unit result
3.2.0, SDL_ConvertPixels, Surface, , convert_pixels, int @-> int @-> pixel_format @-> ptr void @-> int @-> pixel_format @-> ptr void @-> int @-> returning true_to_ok, int -> int -> pixel_format -> ptr void -> int -> pixel_format -> ptr void -> int -> unit result
3.2.0, SDL_ConvertPixelsAndColorspace, Surface, , convert_pixels_and_colorspace, int @-> int @-> pixel_format @-> colorspace @-> properties_id @-> ptr void @-> int @-> pixel_format @-> colorspace @-> properties_id @-> ptr void @-> int @-> returning true_to_ok, int -> int -> pixel_format -> colorspace -> int -> ptr void -> int -> pixel_format -> colorspace -> int -> ptr void -> int -> unit result
3.2.0, SDL_ConvertSurface, Surface, Surface, convert, surface @-> pixel_format @-> returning (some_to_ok surface_opt), surface -> pixel_format -> (surface option) result
3.2.0, SDL_ConvertSurfaceAndColorspace, Surface, Surface, convert_and_colorspace, surface @-> pixel_format @-> palette_opt @-> colorspace @-> properties_id @-> returning (some_to_ok surface_opt), surface -> pixel_format -> palette option -> colorspace -> int -> (surface option) result
3.2.0, SDL_CopyFile, Filesystem, , copy_file, string @-> string @-> returning true_to_ok, string -> string -> unit result
3.2.0, SDL_CopyGPUBufferToBuffer, Gpu, GPU, copy_buffer_to_buffer, gpu_copy_pass @-> ptr gpu_buffer_location @-> ptr gpu_buffer_location @-> uint32 @-> bool @-> returning void, gpu_copy_pass -> ptr gpu_buffer_location -> ptr gpu_buffer_location -> int -> bool -> unit
3.2.0, SDL_CopyGPUTextureToTexture, Gpu, GPU, copy_texture_to_texture, gpu_copy_pass @-> ptr gpu_texture_location @-> ptr gpu_texture_location @-> uint32 @-> uint32 @-> uint32 @-> bool @-> returning void, gpu_copy_pass -> ptr gpu_texture_location -> ptr gpu_texture_location -> int -> int -> int -> bool -> unit
3.2.0, SDL_CopyProperties, Properties, Properties, copy, properties_id @-> properties_id @-> returning true_to_ok, int -> int -> unit result
3.2.0, SDL_CopyStorageFile, Storage, Storage, copy_file, storage @-> string @-> string @-> returning true_to_ok, storage -> string -> string -> unit result
3.2.0, SDL_CreateAsyncIOQueue, Asyncio, AsyncIO, create_queue, void @-> returning (some_to_ok async_io_queue_opt), unit -> (async_io_queue option) result
3.2.0, SDL_CreateAudioStream, Audio, AudioStream, create, audio_spec_opt @-> audio_spec_opt @-> returning (some_to_ok audio_stream_opt), audio_spec option -> audio_spec option -> (audio_stream option) result
3.2.0, SDL_CreateColorCursor, Mouse, Cursor, create_color, surface @-> int @-> int @-> returning (some_to_ok cursor_opt), surface -> int -> int -> (cursor option) result
3.2.0, SDL_CreateCondition, Mutex, Condition, create, void @-> returning (some_to_ok condition_opt), unit -> (condition option) result
3.2.0, SDL_CreateCursor, Mouse, Cursor, create, ptr uint8 @-> ptr uint8 @-> int @-> int @-> int @-> int @-> returning (some_to_ok cursor_opt), ptr uint8 -> ptr uint8 -> int -> int -> int -> int -> (cursor option) result
3.2.0, SDL_CreateDirectory, Filesystem, , create_directory, string @-> returning true_to_ok, string -> unit result
3.2.0, SDL_CreateEnvironment, Stdinc, Environment, create, bool @-> returning (some_to_ok environment_opt), bool -> (environment option) result
3.2.0, SDL_CreateGPUBuffer, Gpu, GPUBuffer, create, gpu_device @-> ptr gpu_buffer_create_info @-> returning (some_to_ok gpu_buffer_opt), gpu_device -> ptr gpu_buffer_create_info -> (gpu_buffer option) result
3.2.0, SDL_CreateGPUComputePipeline, Gpu, GPUComputePipeline, create, gpu_device @-> ptr gpu_compute_pipeline_create_info @-> returning (some_to_ok gpu_compute_pipeline_opt), gpu_device -> ptr gpu_compute_pipeline_create_info -> (gpu_compute_pipeline option) result
3.2.0, SDL_CreateGPUDevice, Gpu, GPUDevice, create, gpu_shader_format @-> bool @-> string @-> returning (some_to_ok gpu_device_opt), int -> bool -> string -> (gpu_device option) result
3.2.0, SDL_CreateGPUDeviceWithProperties, Gpu, GPUDevice, create_with_properties, properties_id @-> returning (some_to_ok gpu_device_opt), int -> (gpu_device option) result
3.2.0, SDL_CreateGPUGraphicsPipeline, Gpu, GPUGraphicsPipeline, create, gpu_device @-> ptr gpu_graphics_pipeline_create_info @-> returning (some_to_ok gpu_graphics_pipeline_opt), gpu_device -> ptr gpu_graphics_pipeline_create_info -> (gpu_graphics_pipeline option) result
3.2.0, SDL_CreateGPUSampler, Gpu, GPUSampler, create, gpu_device @-> ptr gpu_sampler_create_info @-> returning (some_to_ok gpu_sampler_opt), gpu_device -> ptr gpu_sampler_create_info -> (gpu_sampler option) result
3.2.0, SDL_CreateGPUShader, Gpu, GPUShader, create, gpu_device @-> ptr gpu_shader_create_info @-> returning (some_to_ok gpu_shader_opt), gpu_device -> ptr gpu_shader_create_info -> (gpu_shader option) result
3.2.0, SDL_CreateGPUTexture, Gpu, GPUTexture, create, gpu_device @-> ptr gpu_texture_create_info @-> returning (some_to_ok gpu_texture_opt), gpu_device -> ptr gpu_texture_create_info -> (gpu_texture option) result
3.2.0, SDL_CreateGPUTransferBuffer, Gpu, GPUTransferBuffer, create, gpu_device @-> ptr gpu_transfer_buffer_create_info @-> returning (some_to_ok gpu_transfer_buffer_opt), gpu_device -> ptr gpu_transfer_buffer_create_info -> (gpu_transfer_buffer option) result
3.2.0, SDL_CreateHapticEffect, Haptic, Haptic, create_effect, haptic @-> ptr haptic_effect @-> returning haptic_effect_id, haptic -> ptr haptic_effect -> haptic_effect_id (* int *)
3.2.0, SDL_CreateMutex, Mutex, Mutex, create, void @-> returning (some_to_ok mutex_opt), unit -> (mutex option) result
3.2.0, SDL_CreatePalette, Pixels, Palette, create, int @-> returning (some_to_ok palette_opt), int -> (palette option) result
3.2.0, SDL_CreatePopupWindow, Video, Window, create_popup, window_opt @-> int @-> int @-> int @-> int @-> window_flags @-> returning (some_to_ok window_opt), window option -> int -> int -> int -> int -> int64 -> (window option) result
3.2.0, SDL_CreateProcess, Process, Process, create, ptr string @-> bool @-> returning (some_to_ok process_opt), ptr string -> bool -> (process option) result
3.2.0, SDL_CreateProcessWithProperties, Process, Process, create_with_properties, properties_id @-> returning (some_to_ok process_opt), int -> (process option) result
3.2.0, SDL_CreateProperties, Properties, Properties, create, void @-> returning int_as_uint, unit -> int
3.2.0, SDL_CreateRWLock, Mutex, RWLock, create, void @-> returning (some_to_ok rw_lock_opt), unit -> (rw_lock option) result
3.2.0, SDL_CreateRenderer, Render, Renderer, create, window @-> string @-> returning (some_to_ok renderer_opt), window -> string -> (renderer option) result
3.2.0, SDL_CreateRendererWithProperties, Render, Renderer, create_with_properties, properties_id @-> returning (some_to_ok renderer_opt), int -> (renderer option) result
3.2.0, SDL_CreateSemaphore, Mutex, Semaphore, create, uint32 @-> returning (some_to_ok semaphore_opt), int -> (semaphore option) result
3.2.0, SDL_CreateSoftwareRenderer, Render, Renderer, create_software, surface @-> returning (some_to_ok renderer_opt), surface -> (renderer option) result
3.2.0, SDL_CreateStorageDirectory, Storage, Storage, create_directory, storage @-> string @-> returning true_to_ok, storage -> string -> unit result
3.2.0, SDL_CreateSurface, Surface, Surface, create, int @-> int @-> pixel_format @-> returning (some_to_ok surface_opt), int -> int -> pixel_format -> (surface option) result
3.2.0, SDL_CreateSurfaceFrom, Surface, Surface, create_from, int @-> int @-> pixel_format @-> ptr void @-> int @-> returning (some_to_ok surface_opt), int -> int -> pixel_format -> ptr void -> int -> (surface option) result
3.2.0, SDL_CreateSurfacePalette, Surface, Surface, create_palette, surface @-> returning (some_to_ok palette_opt), surface -> (palette option) result
3.2.0, SDL_CreateSystemCursor, Mouse, SystemCursor, create, system_cursor @-> returning (some_to_ok cursor_opt), system_cursor -> (cursor option) result
3.2.0, SDL_CreateTexture, Render, Texture, create, renderer @-> pixel_format @-> texture_access @-> int @-> int @-> returning (some_to_ok texture_opt), renderer -> pixel_format -> texture_access -> int -> int -> (texture option) result
3.2.0, SDL_CreateTextureFromSurface, Render, Texture, create_from_surface, renderer @-> surface @-> returning (some_to_ok texture_opt), renderer -> surface -> (texture option) result
3.2.0, SDL_CreateTextureWithProperties, Render, Texture, create_with_properties, renderer @-> properties_id @-> returning (some_to_ok texture_opt), renderer -> int -> (texture option) result
3.2.0, SDL_CreateThreadRuntime, Thread, Thread, create_runtime, thread_function @-> string @-> ptr void @-> function_pointer_opt @-> function_pointer_opt @-> returning (some_to_ok thread_opt), thread_function -> string -> ptr void -> function_pointer option -> function_pointer option -> (thread option) result
